category,family,provider,form,rank_index,spell_id,resolved_name,resolved_rank,tooltip,dump_source
spirit,chromiesWisdom,CHRONOMANCER,single,2,802827,Chromie's Wisdom,Rank 2,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 16. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 802827",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,single,3,802828,Chromie's Wisdom,Rank 3,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 23. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 802828",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,single,4,802829,Chromie's Wisdom,Rank 4,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 40. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 802829",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,single,5,802830,Chromie's Wisdom,Rank 5,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 50. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 802830",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,single,6,802831,Chromie's Wisdom,Rank 6,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 80. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 802831",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,single,7,802832,Chromie's Wisdom,Rank 7,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 80. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 802832",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,single,8,802833,Chromie's Wisdom,Rank 8,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 80. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 802833",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,single,9,802834,Chromie's Wisdom,Rank 9,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 80. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 802834",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,greater,1,680307,Greater Chromie's Wisdom,,"Greater Chromie's Wisdom / 30 yd range / Instant / Empowers nearby party and raid members, increasing their Spirit by 40. Lasts 30 min. / ID 680307",pasted-text.txt
spirit,spiritWuju,WITCHDOCTOR,single,1,560294,Spirit Wuju,Rank 1,"Spirit Wuju / 30 yd range / Instant / Imbue an ally with the spirit of Sen'jin for 30 min, increasing their Spirit by 3 and their magic resistances by 5. Hold SHIFT for more information / ID 560294",pasted-text.txt
spirit,spiritWuju,WITCHDOCTOR,single,2,561140,Spirit Wuju,Rank 2,"Spirit Wuju / 30 yd range / Instant / Imbue an ally with the spirit of Sen'jin for 30 min, increasing their Spirit by 17 and their magic resistances by 5. Hold SHIFT for more information / ID 561140",pasted-text.txt
spirit,spiritWuju,WITCHDOCTOR,single,3,561141,Spirit Wuju,Rank 3,"Spirit Wuju / 30 yd range / Instant / Imbue an ally with the spirit of Sen'jin for 30 min, increasing their Spirit by 23 and their magic resistances by 10. Hold SHIFT for more information / ID 561141",pasted-text.txt
spirit,spiritWuju,WITCHDOCTOR,single,4,561142,Spirit Wuju,Rank 4,"Spirit Wuju / 30 yd range / Instant / Imbue an ally with the spirit of Sen'jin for 30 min, increasing their Spirit by 40 and their magic resistances by 20. Hold SHIFT for more information / ID 561142",pasted-text.txt
spirit,spiritWuju,WITCHDOCTOR,single,5,561143,Spirit Wuju,Rank 5,"Spirit Wuju / 30 yd range / Instant / Imbue an ally with the spirit of Sen'jin for 30 min, increasing their Spirit by 50 and their magic resistances by 25. Hold SHIFT for more information / ID 561143",pasted-text.txt
spirit,spiritWuju,WITCHDOCTOR,greater,1,680872,Greater Spirit Wuju,,"Greater Spirit Wuju / 30 yd range / Instant / Imbue all party and raid members with the spirit of Sen'jin for 30 min, increasing their Spirit by 40 and their magic resistances by 20. Hold SHIFT for more information / ID 680872",pasted-text.txt
spirit,toxicPheromones,PROPHET,single,1,707689,Toxic Pheromones,Rank 1,"Toxic Pheromones / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 28. / ID 707689",pasted-text.txt
spirit,toxicPheromones,PROPHET,single,2,707690,Toxic Pheromones,Rank 2,"Toxic Pheromones / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 37. / ID 707690",pasted-text.txt
spirit,toxicPheromones,PROPHET,single,3,707691,Toxic Pheromones,Rank 3,"Toxic Pheromones / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 49. / ID 707691",pasted-text.txt
spirit,toxicPheromones,PROPHET,single,4,707692,Toxic Pheromones,Rank 4,"Toxic Pheromones / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 62. / ID 707692",pasted-text.txt
spirit,toxicPheromones,PROPHET,greater,1,712459,Greater Toxic Pheromones,,"Greater Toxic Pheromones / Instant / Create a magic edict with an ally, increasing their spell power by 62. / ID 712459",pasted-text.txt
spirit,bloodsoakedOffering,SONOFARUGAL,single,1,572400,Bloodsoaked Offering,Rank 1,"Bloodsoaked Offering / 30 yd range / Instant / Blood magic infuses the target ally, increasing their Spirit by 17 for 30 min. / ID 572400",pasted-text.txt
spirit,bloodsoakedOffering,SONOFARUGAL,single,2,572401,Bloodsoaked Offering,Rank 2,"Bloodsoaked Offering / 30 yd range / Instant / Blood magic infuses the target ally, increasing their Spirit by 23 for 30 min. / ID 572401",pasted-text.txt
spirit,bloodsoakedOffering,SONOFARUGAL,single,3,572402,Bloodsoaked Offering,Rank 3,"Bloodsoaked Offering / 30 yd range / Instant / Blood magic infuses the target ally, increasing their Spirit by 23 for 30 min. / ID 572402",pasted-text.txt
spirit,bloodsoakedOffering,SONOFARUGAL,single,4,572403,Bloodsoaked Offering,Rank 4,"Bloodsoaked Offering / 30 yd range / Instant / Blood magic infuses the target ally, increasing their Spirit by 40 for 30 min. / ID 572403",pasted-text.txt
spirit,bloodsoakedOffering,SONOFARUGAL,greater,1,572404,Greater Bloodsoaked Offering,,"Greater Bloodsoaked Offering / 30 yd range / Instant / Blood magic infuses all party and raid members, increasing their Spirit by 40 for 30 min. / ID 572404",pasted-text.txt
attackPower,primalInstinct,WILDWALKER,single,1,800197,Primal Instinct,Rank 1,"Primal Instinct / 40 yd range / Instant / Invokes a savage instinct on a friendly target, increasing attack power by 30 for 30 min. Hold SHIFT for more information / ID 800197",pasted-text.txt
attackPower,primalInstinct,WILDWALKER,single,2,803315,Primal Instinct,Rank 2,"Primal Instinct / 40 yd range / Instant / Invokes a savage instinct on a friendly target, increasing attack power by 40 for 30 min. Hold SHIFT for more information / ID 803315",pasted-text.txt
attackPower,primalInstinct,WILDWALKER,single,3,803316,Primal Instinct,Rank 3,"Primal Instinct / 40 yd range / Instant / Invokes a savage instinct on a friendly target, increasing attack power by 55 for 30 min. Hold SHIFT for more information / ID 803316",pasted-text.txt
attackPower,primalInstinct,WILDWALKER,single,4,803317,Primal Instinct,Rank 4,"Primal Instinct / 40 yd range / Instant / Invokes a savage instinct on a friendly target, increasing attack power by 85 for 30 min. Hold SHIFT for more information / ID 803317",pasted-text.txt
attackPower,primalInstinct,WILDWALKER,single,5,803318,Primal Instinct,Rank 5,"Primal Instinct / 40 yd range / Instant / Invokes a savage instinct on a friendly target, increasing attack power by 130 for 30 min. Hold SHIFT for more information / ID 803318",pasted-text.txt
attackPower,primalInstinct,WILDWALKER,single,6,803319,Primal Instinct,Rank 6,"Primal Instinct / 40 yd range / Instant / Invokes a savage instinct on a friendly target, increasing attack power by 185 for 30 min. Hold SHIFT for more information / ID 803319",pasted-text.txt
attackPower,primalInstinct,WILDWALKER,single,7,573349,Primal Instinct,Rank 7,"Primal Instinct / 30 yd range / Instant / Invokes a savage instinct on a friendly target, increasing attack power by 232 for 30 min. Hold SHIFT for more information / ID 573349",pasted-text.txt
attackPower,primalInstinct,WILDWALKER,greater,1,680310,Greater Primal Instinct,,"Greater Primal Instinct / 30 yd range / Instant / Invokes an Instinct in all raid and party members, increasing attack power by 232 for 30 min. / ID 680310",pasted-text.txt
attackPower,woodsmansAdaptation,RANGER,single,1,800266,Woodsman's Adaptation,Rank 1,"Woodsman's Adaptation / 19 Focus / 40 yd range / Instant / Enhance an ally's focus, increasing their melee and ranged attack power by 30. Lasts 30 min / ID 800266",pasted-text.txt
attackPower,woodsmansAdaptation,RANGER,single,2,803320,Woodsman's Adaptation,Rank 2,"Woodsman's Adaptation / 19 Focus / 40 yd range / Instant / Enhance an ally's focus, increasing their melee and ranged attack power by 35. Lasts 30 min / ID 803320",pasted-text.txt
attackPower,woodsmansAdaptation,RANGER,single,3,803321,Woodsman's Adaptation,Rank 3,"Woodsman's Adaptation / 19 Focus / 40 yd range / Instant / Enhance an ally's focus, increasing their melee and ranged attack power by 55. Lasts 30 min / ID 803321",pasted-text.txt
attackPower,woodsmansAdaptation,RANGER,single,4,803322,Woodsman's Adaptation,Rank 4,"Woodsman's Adaptation / 19 Focus / 40 yd range / Instant / Enhance an ally's focus, increasing their melee and ranged attack power by 85. Lasts 30 min / ID 803322",pasted-text.txt
attackPower,woodsmansAdaptation,RANGER,single,5,803323,Woodsman's Adaptation,Rank 5,"Woodsman's Adaptation / 19 Focus / 40 yd range / Instant / Enhance an ally's focus, increasing their melee and ranged attack power by 130. Lasts 30 min / ID 803323",pasted-text.txt
attackPower,woodsmansAdaptation,RANGER,single,6,803324,Woodsman's Adaptation,Rank 6,"Woodsman's Adaptation / 19 Focus / 40 yd range / Instant / Enhance an ally's focus, increasing their melee and ranged attack power by 185. Lasts 30 min / ID 803324",pasted-text.txt
attackPower,woodsmansAdaptation,RANGER,single,7,803666,Woodsman's Adaptation,Rank 7,"Woodsman's Adaptation / 19 Focus / 40 yd range / Instant / Enhance an ally's focus, increasing their melee and ranged attack power by 232. Lasts 30 min / ID 803666",pasted-text.txt
attackPower,woodsmansAdaptation,RANGER,greater,1,680294,Greater Woodsman's Adaptation,,"Greater Woodsman's Adaptation / 48 Focus / 40 yd range / Instant / Enhance your party and raid members focus, increasing their melee and ranged attack power by 232. Lasts 30 min / ID 680294",pasted-text.txt
attackPower,devotionOfDawn,SUNCLERIC,single,1,572384,Devotion of Dawn,Rank 1,"Devotion of Dawn / 30 yd range / Instant / Places a Devotion on the friendly target, increasing attack power by 35 for 30 min. Hold SHIFT for more information / ID 572384",pasted-text.txt
attackPower,devotionOfDawn,SUNCLERIC,single,2,572385,Devotion of Dawn,Rank 2,"Devotion of Dawn / 30 yd range / Instant / Places a Devotion on the friendly target, increasing attack power by 55 for 30 min. Hold SHIFT for more information / ID 572385",pasted-text.txt
attackPower,devotionOfDawn,SUNCLERIC,single,3,572386,Devotion of Dawn,Rank 3,"Devotion of Dawn / 30 yd range / Instant / Places a Devotion on the friendly target, increasing attack power by 85 for 30 min. Hold SHIFT for more information / ID 572386",pasted-text.txt
attackPower,devotionOfDawn,SUNCLERIC,single,4,572387,Devotion of Dawn,Rank 4,"Devotion of Dawn / 30 yd range / Instant / Places a Devotion on the friendly target, increasing attack power by 130 for 30 min. Hold SHIFT for more information / ID 572387",pasted-text.txt
attackPower,devotionOfDawn,SUNCLERIC,single,5,572388,Devotion of Dawn,Rank 5,"Devotion of Dawn / 30 yd range / Instant / Places a Devotion on the friendly target, increasing attack power by 185 for 30 min. Hold SHIFT for more information / ID 572388",pasted-text.txt
attackPower,devotionOfDawn,SUNCLERIC,single,6,572389,Devotion of Dawn,Rank 6,"Devotion of Dawn / 30 yd range / Instant / Places a Devotion on the friendly target, increasing attack power by 232 for 30 min. Hold SHIFT for more information / ID 572389",pasted-text.txt
attackPower,devotionOfDawn,SUNCLERIC,greater,1,572390,Greater Devotion of Dawn,,"Greater Devotion of Dawn / 30 yd range / Instant / Places a Devotion on all raid and party members, increasing attack power by 232 for 30 min. Hold SHIFT for more information / ID 572390",pasted-text.txt
attackPower,powerModule,TINKER,single,1,706742,Power Module,Rank 1,"Power Module / 40 yd range / Instant / Activates power module on an allied player, increasing attack power by 19 for 30 min. Only one Module per Tinker can be active. / ID 706742",pasted-text.txt
attackPower,powerModule,TINKER,single,2,707346,Power Module,Rank 2,"Power Module / 40 yd range / Instant / Activates power module on an allied player, increasing attack power by 35 for 30 min. Only one Module per Tinker can be active. / ID 707346",pasted-text.txt
attackPower,powerModule,TINKER,single,3,707347,Power Module,Rank 3,"Power Module / 40 yd range / Instant / Activates power module on an allied player, increasing attack power by 55 for 30 min. Only one Module per Tinker can be active. / ID 707347",pasted-text.txt
attackPower,powerModule,TINKER,single,4,707348,Power Module,Rank 4,"Power Module / 40 yd range / Instant / Activates power module on an allied player, increasing attack power by 85 for 30 min. Only one Module per Tinker can be active. / ID 707348",pasted-text.txt
attackPower,powerModule,TINKER,single,5,707349,Power Module,Rank 5,"Power Module / 40 yd range / Instant / Activates power module on an allied player, increasing attack power by 130 for 30 min. Only one Module per Tinker can be active. / ID 707349",pasted-text.txt
attackPower,powerModule,TINKER,single,6,707350,Power Module,Rank 6,"Power Module / 40 yd range / Instant / Activates power module on an allied player, increasing attack power by 185 for 30 min. Only one Module per Tinker can be active. / ID 707350",pasted-text.txt
attackPower,powerModule,TINKER,single,7,707688,Power Module,Rank 7,"Power Module / 40 yd range / Instant / Activates power module on an allied player, increasing attack power by 232 for 30 min. Only one Module per Tinker can be active. / ID 707688",pasted-text.txt
attackPower,powerModule,TINKER,greater,1,680315,Greater Power Module,,"Greater Power Module / 30 yd range / Instant / Activates power module on raid and party members, increasing attack power by 232 for 30 min. Only one Module per Tinker can be active. / ID 680315",pasted-text.txt
attackPower,powerWuju,WITCHDOCTOR,single,1,707671,Power Wuju,Rank 1,"Power Wuju / 40 yd range / Instant / Give an ally some wuju mon, increasing their melee and ranged attack power by 30. Lasts 30 min. Hold SHIFT for more information / ID 707671",pasted-text.txt
attackPower,powerWuju,WITCHDOCTOR,single,2,707672,Power Wuju,Rank 2,"Power Wuju / 40 yd range / Instant / Give an ally some wuju mon, increasing their melee and ranged attack power by 35. Lasts 30 min. Hold SHIFT for more information / ID 707672",pasted-text.txt
attackPower,powerWuju,WITCHDOCTOR,single,3,707673,Power Wuju,Rank 3,"Power Wuju / 40 yd range / Instant / Give an ally some wuju mon, increasing their melee and ranged attack power by 55. Lasts 30 min. Hold SHIFT for more information / ID 707673",pasted-text.txt
attackPower,powerWuju,WITCHDOCTOR,single,4,707674,Power Wuju,Rank 4,"Power Wuju / 40 yd range / Instant / Give an ally some wuju mon, increasing their melee and ranged attack power by 85. Lasts 30 min. Hold SHIFT for more information / ID 707674",pasted-text.txt
attackPower,powerWuju,WITCHDOCTOR,single,5,707675,Power Wuju,Rank 5,"Power Wuju / 40 yd range / Instant / Give an ally some wuju mon, increasing their melee and ranged attack power by 130. Lasts 30 min. Hold SHIFT for more information / ID 707675",pasted-text.txt
attackPower,powerWuju,WITCHDOCTOR,single,6,707676,Power Wuju,Rank 6,"Power Wuju / 40 yd range / Instant / Give an ally some wuju mon, increasing their melee and ranged attack power by 232. Lasts 30 min. Hold SHIFT for more information / ID 707676",pasted-text.txt
attackPower,powerWuju,WITCHDOCTOR,single,7,707677,Power Wuju,Rank 7,"Power Wuju / 40 yd range / Instant / Give an ally some wuju mon, increasing their melee and ranged attack power by 306. Lasts 30 min. Hold SHIFT for more information / ID 707677",pasted-text.txt
attackPower,powerWuju,WITCHDOCTOR,greater,1,712458,Greater Power Wuju,,"Greater Power Wuju / 40 yd range / Instant / Give all party and raid members some wuju mon, increasing their melee and ranged attack power by 232. Lasts 30 min. Hold SHIFT for more information / ID 712458",pasted-text.txt
attackPower,beetlePheromones,PROPHET,single,1,803651,Beetle Pheromones,Rank 1,Beetle Pheromones / 40 yd range / Instant / Increase the friendly target's armor by 105 and all primary stats by 4 for 30 min. Hold SHIFT for more information / ID 803651,pasted-text.txt
attackPower,beetlePheromones,PROPHET,single,2,803652,Beetle Pheromones,Rank 2,Beetle Pheromones / 40 yd range / Instant / Increase the friendly target's armor by 150 and all primary stats by 6 for 30 min. Hold SHIFT for more information / ID 803652,pasted-text.txt
attackPower,beetlePheromones,PROPHET,single,3,803653,Beetle Pheromones,Rank 3,Beetle Pheromones / 40 yd range / Instant / Increase the friendly target's armor by 195 and all primary stats by 6 for 30 min. Hold SHIFT for more information / ID 803653,pasted-text.txt
attackPower,beetlePheromones,PROPHET,single,4,803654,Beetle Pheromones,Rank 4,Beetle Pheromones / 40 yd range / Instant / Increase the friendly target's armor by 240 and all primary stats by 12 for 30 min. Hold SHIFT for more information / ID 803654,pasted-text.txt
attackPower,beetlePheromones,PROPHET,single,5,803655,Beetle Pheromones,Rank 5,Beetle Pheromones / 40 yd range / Instant / Increase the friendly target's armor by 285 and all primary stats by 12 for 30 min. Hold SHIFT for more information / ID 803655,pasted-text.txt
attackPower,beetlePheromones,PROPHET,single,6,803656,Beetle Pheromones,Rank 6,Beetle Pheromones / 40 yd range / Instant / Increase the friendly target's armor by 285 and all primary stats by 12 for 30 min. Hold SHIFT for more information / ID 803656,pasted-text.txt
attackPower,beetlePheromones,PROPHET,greater,1,803657,Greater Beetle Pheromones,,Greater Beetle Pheromones / 40 yd range / Instant / Increase all nearby party and raid member's armor by 285 and all primary stats by 12 for 30 min. Hold SHIFT for more information / ID 803657,pasted-text.txt
spellPower,whispersOfCthun,CULTIST,single,1,572791,Whispers of C'thun,Rank 1,"Whispers of C'thun / 30 yd range / Instant / Gift an ally with the madness of C'thun, increasing spell power by 37 for 30 min. / ID 572791",pasted-text.txt
spellPower,whispersOfCthun,CULTIST,single,2,572819,Whispers of C'thun,Rank 2,"Whispers of C'thun / 30 yd range / Instant / Gift an ally with the madness of C'thun, increasing spell power by 49 for 30 min. / ID 572819",pasted-text.txt
spellPower,whispersOfCthun,CULTIST,single,3,572905,Whispers of C'thun,Rank 3,"Whispers of C'thun / 30 yd range / Instant / Gift an ally with the madness of C'thun, increasing spell power by 62 for 30 min. / ID 572905",pasted-text.txt
spellPower,whispersOfCthun,CULTIST,greater,1,573067,Greater Whispers of C'thun,,"Greater Whispers of C'thun / 30 yd range / Instant / Gift nearby allies with the madness of C'thun, increasing spell power by 62 for 30 min. / ID 573067",pasted-text.txt
spellPower,grimMandate,NECROMANCER,single,1,572787,Grim Mandate,Rank 1,"Grim Mandate / 86 Mana / 30 yd range / Instant cast / Places a Mandate on the friendly target, increasing spell power by 37 for 30 min. / ID 572787",pasted-text.txt
spellPower,grimMandate,NECROMANCER,single,2,572788,Grim Mandate,Rank 2,"Grim Mandate / 86 Mana / 30 yd range / Instant cast / Places a Mandate on the friendly target, increasing spell power by 35 for 30 min. / ID 572788",pasted-text.txt
spellPower,grimMandate,NECROMANCER,single,3,572789,Grim Mandate,Rank 3,"Grim Mandate / 86 Mana / 30 yd range / Instant cast / Places a Mandate on the friendly target, increasing spell power by 49 for 30 min. / ID 572789",pasted-text.txt
spellPower,grimMandate,NECROMANCER,greater,1,572790,Greater Grim Mandate,,"Greater Grim Mandate / 86 Mana / 30 yd range / Instant cast / Empowers raid and party members with a dark Mandate, increasing spell power by 62 for 30 min. / ID 572790",pasted-text.txt
spellPower,devotionOfRadiance,SUNCLERIC,single,1,575040,Devotion of Radiance,Rank 1,"Devotion of Radiance / 30 yd range / Instant / Places a Devotion on the friendly target, increasing spell power by 28 for 30 min. Hold SHIFT for more information / ID 575040",pasted-text.txt
spellPower,devotionOfRadiance,SUNCLERIC,single,2,575041,Devotion of Radiance,Rank 2,"Devotion of Radiance / 30 yd range / Instant / Places a Devotion on the friendly target, increasing spell power by 37 for 30 min. Hold SHIFT for more information / ID 575041",pasted-text.txt
spellPower,devotionOfRadiance,SUNCLERIC,single,3,575042,Devotion of Radiance,Rank 3,"Devotion of Radiance / 30 yd range / Instant / Places a Devotion on the friendly target, increasing spell power by 49 for 30 min. Hold SHIFT for more information / ID 575042",pasted-text.txt
spellPower,devotionOfRadiance,SUNCLERIC,single,4,575043,Devotion of Radiance,Rank 4,"Devotion of Radiance / 30 yd range / Instant / Places a Devotion on the friendly target, increasing spell power by 62 for 30 min. Hold SHIFT for more information / ID 575043",pasted-text.txt
spellPower,devotionOfRadiance,SUNCLERIC,single,5,575044,Devotion of Radiance,Rank 5,"Devotion of Radiance / 30 yd range / Instant / Places a Devotion on the friendly target, increasing spell power by 73 for 30 min. Hold SHIFT for more information / ID 575044",pasted-text.txt
spellPower,devotionOfRadiance,SUNCLERIC,greater,1,575045,Greater Devotion of Radiance,,"Greater Devotion of Radiance / 30 yd range / Instant / Places a Devotion on all raid and party members, increasing spell power by 62 for 30 min. Hold SHIFT for more information / ID 575045",pasted-text.txt
spellPower,witchingEdict,WITCHHUNTER,single,1,707684,Witching Edict,Rank 1,"Witching Edict / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 25. / ID 707684",pasted-text.txt
spellPower,witchingEdict,WITCHHUNTER,single,2,707685,Witching Edict,Rank 2,"Witching Edict / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 37. / ID 707685",pasted-text.txt
spellPower,witchingEdict,WITCHHUNTER,single,3,707686,Witching Edict,Rank 3,"Witching Edict / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 49. / ID 707686",pasted-text.txt
spellPower,witchingEdict,WITCHHUNTER,single,4,707687,Witching Edict,Rank 4,"Witching Edict / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 62. / ID 707687",pasted-text.txt
spellPower,witchingEdict,WITCHHUNTER,greater,1,681442,Greater Witching Edict,,"Greater Witching Edict / 30 yd range / Instant / Declare a witching edict to all party and raid members, increasing their spell power by 62. / ID 681442",pasted-text.txt
spellPower,toxicPheromones,PROPHET,single,1,707689,Toxic Pheromones,Rank 1,"Toxic Pheromones / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 28. / ID 707689",pasted-text.txt
spellPower,toxicPheromones,PROPHET,single,2,707690,Toxic Pheromones,Rank 2,"Toxic Pheromones / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 37. / ID 707690",pasted-text.txt
spellPower,toxicPheromones,PROPHET,single,3,707691,Toxic Pheromones,Rank 3,"Toxic Pheromones / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 49. / ID 707691",pasted-text.txt
spellPower,toxicPheromones,PROPHET,single,4,707692,Toxic Pheromones,Rank 4,"Toxic Pheromones / 40 yd range / Instant / Create a magic edict with an ally, increasing their spell power by 62. / ID 707692",pasted-text.txt
spellPower,toxicPheromones,PROPHET,greater,1,712459,Greater Toxic Pheromones,,"Greater Toxic Pheromones / Instant / Create a magic edict with an ally, increasing their spell power by 62. / ID 712459",pasted-text.txt
spellPower,markOfBlaumeux,FLESHWARDEN,single,1,707693,Mark of Blaumeux,Rank 1,"Mark of Blaumeux / 40 yd range / Instant / Mark an ally with the power of Blaumeux, increasing their spell power by 25 and Shadow Resist by 15 for 30 min. / ID 707693",pasted-text.txt
spellPower,markOfBlaumeux,FLESHWARDEN,single,2,707694,Mark of Blaumeux,Rank 2,"Mark of Blaumeux / 40 yd range / Instant / Mark an ally with the power of Blaumeux, increasing their spell power by 30 and Shadow Resist by 30 for 30 min. / ID 707694",pasted-text.txt
spellPower,markOfBlaumeux,FLESHWARDEN,single,3,707695,Mark of Blaumeux,Rank 3,"Mark of Blaumeux / 40 yd range / Instant / Mark an ally with the power of Blaumeux, increasing their spell power by 37 and Shadow Resist by 45 for 30 min. / ID 707695",pasted-text.txt
spellPower,markOfBlaumeux,FLESHWARDEN,single,4,707696,Mark of Blaumeux,Rank 4,"Mark of Blaumeux / 40 yd range / Instant / Mark an ally with the power of Blaumeux, increasing their spell power by 49 and Shadow Resist by 60 for 30 min. / ID 707696",pasted-text.txt
spellPower,markOfBlaumeux,FLESHWARDEN,greater,1,712460,Greater Mark of Blaumeux,,"Greater Mark of Blaumeux / 40 yd range / Instant / Mark nearby party and raid members with the power of Blaumeux, increasing their spell power by 62. / ID 712460",pasted-text.txt
percentStats,whispersOfNzoth,CULTIST,single,1,561386,Whispers of N'Zoth,,"Whispers of N'Zoth / 30 yd range / Instant / Gift an ally with the madness of N'Zoth, increasing total stats by 10% for 30 min. / ID 561386",pasted-text.txt
percentStats,whispersOfNzoth,CULTIST,greater,1,561387,Greater Whispers of N'zoth,,"Greater Whispers of N'zoth / 30 yd range / Instant / Gift party and raid members with the madness of N'zoth, increasing total stats by 10% for 30 min. / ID 561387",pasted-text.txt
percentStats,devotionOfEmperors,SUNCLERIC,single,1,572552,Devotion of Emperors,,"Devotion of Emperors / 40 yd range / Instant / Places a Devotion on the friendly target, increasing total stats by 10% for 30 min. Hold SHIFT for more information / ID 572552",pasted-text.txt
percentStats,devotionOfEmperors,SUNCLERIC,greater,1,572553,Greater Devotion of Emperors,,"Greater Devotion of Emperors / 40 yd range / Instant / Places a Devotion on all raid and party members, increasing total stats by 10% for 30 min. Hold SHIFT for more information / ID 572553",pasted-text.txt
percentStats,crusadersOath,MONK,single,1,572629,Gift of Fervor,,"Gift of Fervor / 40 yd range / Instant / Places an Gift on the friendly target, increasing total stats by 10% for 30 min. / ID 572629",pasted-text.txt
percentStats,crusadersOath,MONK,greater,1,572630,Greater Crusader's Oath,,"Greater Crusader's Oath / 40 yd range / Instant / Places an Oath on all raid and party members, increasing total stats by 10% for 30 min. / ID 572630",pasted-text.txt
percentStats,etchingOfTheLeylines,SPIRITMAGE,single,1,561236,Etching of the Leylines,,"Etching of the Leylines / 40 yd range / Instant / Enhance an ally, increasing their total stats by 10%. / ID 561236",pasted-text.txt
percentStats,etchingOfTheLeylines,SPIRITMAGE,greater,1,561242,Greater Etching of the Leylines,,"Greater Etching of the Leylines / 40 yd range / Instant / Enhance all party and raid members, increasing their total stats by 10%. / ID 561242",pasted-text.txt
mana,devotionOfGrace,SUNCLERIC,single,1,800852,Devotion of Grace,Rank 1,"Devotion of Grace / 40 yd range / Instant / Places a Devotion on the friendly target, restoring 5 mana every 5 seconds and reducing their costs by 5% for 30 min. Hold SHIFT for more information / ID 800852",pasted-text.txt
mana,devotionOfGrace,SUNCLERIC,single,2,300858,Devotion of Grace,Rank 2,"Devotion of Grace / 40 yd range / Instant / Places a Devotion on the friendly target, restoring 10 mana every 5 seconds and reducing their costs by 5% for 30 min. Hold SHIFT for more information / ID 300858",pasted-text.txt
mana,devotionOfGrace,SUNCLERIC,single,3,300859,Devotion of Grace,Rank 3,"Devotion of Grace / 40 yd range / Instant / Places a Devotion on the friendly target, restoring 15 mana every 5 seconds and reducing their costs by 5% for 30 min. Hold SHIFT for more information / ID 300859",pasted-text.txt
mana,devotionOfGrace,SUNCLERIC,single,4,300862,Devotion of Grace,Rank 4,"Devotion of Grace / 40 yd range / Instant / Places a Devotion on the friendly target, restoring 20 mana every 5 seconds and reducing their costs by 5% for 30 min. Hold SHIFT for more information / ID 300862",pasted-text.txt
mana,devotionOfGrace,SUNCLERIC,single,5,300863,Devotion of Grace,Rank 5,"Devotion of Grace / 40 yd range / Instant / Places a Devotion on the friendly target, restoring 25 mana every 5 seconds and reducing their costs by 5% for 30 min. Hold SHIFT for more information / ID 300863",pasted-text.txt
mana,devotionOfGrace,SUNCLERIC,single,6,300864,Devotion of Grace,Rank 6,"Devotion of Grace / 40 yd range / Instant / Places a Devotion on the friendly target, restoring 30 mana every 5 seconds and reducing their costs by 5% for 30 min. Hold SHIFT for more information / ID 300864",pasted-text.txt
