category,family,provider,form,rank_index,spell_id,resolved_name,strength,agility,stamina,intellect,spirit,attack_power,spell_power,armor,all_stats_flat,all_stats_percent,mana_per_5,resource_cost_reduction_percent,arcane_resistance,fire_resistance,frost_resistance,nature_resistance,shadow_resistance,effect_summary,parse_status,verification_status,notes
spellPower,devotionOfRadiance,SUNCLERIC,single,3,575042,Devotion of Radiance,,,,,,,49,,,,,,,,,,,SP 49,parsed,tooltip_unverified,
spellPower,devotionOfRadiance,SUNCLERIC,single,4,575043,Devotion of Radiance,,,,,,,62,,,,,,,,,,,SP 62,parsed,tooltip_unverified,
spellPower,devotionOfRadiance,SUNCLERIC,single,5,575044,Devotion of Radiance,,,,,,,73,,,,,,,,,,,SP 73,parsed,tooltip_unverified,
spellPower,devotionOfRadiance,SUNCLERIC,greater,1,575045,Greater Devotion of Radiance,,,,,,,62,,,,,,,,,,,SP 62,parsed,tooltip_unverified,
spellPower,witchingEdict,WITCHHUNTER,single,1,707684,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,witchingEdict,WITCHHUNTER,single,2,707685,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,witchingEdict,WITCHHUNTER,single,3,707686,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,witchingEdict,WITCHHUNTER,single,4,707687,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,witchingEdict,WITCHHUNTER,greater,1,681442,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,toxicPheromones,PROPHET,single,1,707689,Toxic Pheromones,,,,,,,28,,,,,,,,,,,SP 28,parsed,tooltip_unverified,
spellPower,toxicPheromones,PROPHET,single,2,707690,Toxic Pheromones,,,,,,,37,,,,,,,,,,,SP 37,parsed,tooltip_unverified,
spellPower,toxicPheromones,PROPHET,single,3,707691,Toxic Pheromones,,,,,,,49,,,,,,,,,,,SP 49,parsed,tooltip_unverified,
spellPower,toxicPheromones,PROPHET,single,4,707692,Toxic Pheromones,,,,,,,62,,,,,,,,,,,SP 62,parsed,tooltip_unverified,
spellPower,toxicPheromones,PROPHET,greater,1,712459,Greater Toxic Pheromones,,,,,,,62,,,,,,,,,,,SP 62,parsed,tooltip_unverified,
spellPower,markOfBlaumeux,FLESHWARDEN,single,1,707693,Mark of Blaumeux,,,,,,,25,,,,,,,,,,,SP 25,parsed,tooltip_unverified,
spellPower,markOfBlaumeux,FLESHWARDEN,single,2,707694,Mark of Blaumeux,,,,,,,30,,,,,,,,,,,SP 30,parsed,tooltip_unverified,
spellPower,markOfBlaumeux,FLESHWARDEN,single,3,707695,Mark of Blaumeux,,,,,,,37,,,,,,,,,,,SP 37,parsed,tooltip_unverified,
spellPower,markOfBlaumeux,FLESHWARDEN,single,4,707696,Mark of Blaumeux,,,,,,,49,,,,,,,,,,,SP 49,parsed,tooltip_unverified,
spellPower,markOfBlaumeux,FLESHWARDEN,greater,1,712460,Greater Mark of Blaumeux,,,,,,,62,,,,,,,,,,,SP 62,parsed,tooltip_unverified,
percentStats,whispersOfNzoth,CULTIST,single,1,561386,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
percentStats,whispersOfNzoth,CULTIST,greater,1,561387,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
percentStats,devotionOfEmperors,SUNCLERIC,single,1,572552,Devotion of Emperors,,,,,,,,,,10,,,,,,,,All Stats 10%,parsed,tooltip_unverified,
percentStats,devotionOfEmperors,SUNCLERIC,greater,1,572553,Greater Devotion of Emperors,,,,,,,,,,10,,,,,,,,All Stats 10%,parsed,tooltip_unverified,
percentStats,crusadersOath,MONK,single,1,572629,Gift of Fervor,,,,,,,,,,10,,,,,,,,All Stats 10%,parsed,tooltip_unverified,
percentStats,crusadersOath,MONK,greater,1,572630,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
percentStats,etchingOfTheLeylines,SPIRITMAGE,single,1,561236,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
percentStats,etchingOfTheLeylines,SPIRITMAGE,greater,1,561242,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,devotionOfGrace,SUNCLERIC,single,1,800852,Devotion of Grace,,,,,,,,,,,5,,,,,,,MP5 5,parsed,tooltip_unverified,
mana,devotionOfGrace,SUNCLERIC,single,2,300858,Devotion of Grace,,,,,,,,,,,10,,,,,,,MP5 10,parsed,tooltip_unverified,
mana,devotionOfGrace,SUNCLERIC,single,3,300859,Devotion of Grace,,,,,,,,,,,15,,,,,,,MP5 15,parsed,tooltip_unverified,
mana,devotionOfGrace,SUNCLERIC,single,4,300862,Devotion of Grace,,,,,,,,,,,20,,,,,,,MP5 20,parsed,tooltip_unverified,
mana,devotionOfGrace,SUNCLERIC,single,5,300863,Devotion of Grace,,,,,,,,,,,25,,,,,,,MP5 25,parsed,tooltip_unverified,
mana,devotionOfGrace,SUNCLERIC,single,6,300864,Devotion of Grace,,,,,,,,,,,30,,,,,,,MP5 30,parsed,tooltip_unverified,
mana,devotionOfGrace,SUNCLERIC,single,7,300865,Devotion of Grace,,,,,,,,,,,33,,,,,,,MP5 33,parsed,tooltip_unverified,
mana,devotionOfGrace,SUNCLERIC,single,8,300866,Devotion of Grace,,,,,,,,,,,41,,,,,,,MP5 41,parsed,tooltip_unverified,
mana,devotionOfGrace,SUNCLERIC,greater,1,681160,Greater Devotion of Grace,,,,,,,,,,,33,,,,,,,MP5 33,parsed,tooltip_unverified,
mana,etchingOfTheMagi,SPIRITMAGE,single,1,560295,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,etchingOfTheMagi,SPIRITMAGE,greater,1,561243,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,resourcefulWuju,WITCHDOCTOR,single,1,578344,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,resourcefulWuju,WITCHDOCTOR,greater,1,800195,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,whispersOfYshaarj,CULTIST,single,1,561389,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,whispersOfYshaarj,CULTIST,single,2,561390,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,whispersOfYshaarj,CULTIST,single,3,561391,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,whispersOfYshaarj,CULTIST,greater,1,561392,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,groveInstinct,WILDWALKER,single,1,572810,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,groveInstinct,WILDWALKER,single,2,572811,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,groveInstinct,WILDWALKER,single,3,572812,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,groveInstinct,WILDWALKER,single,4,572813,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,groveInstinct,WILDWALKER,single,5,572814,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,groveInstinct,WILDWALKER,single,6,572815,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,groveInstinct,WILDWALKER,single,7,572816,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,groveInstinct,WILDWALKER,greater,1,572817,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,sealOfAlar,PYROMANCER,single,1,803649,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,sealOfAlar,PYROMANCER,single,2,803729,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,sealOfAlar,PYROMANCER,single,3,807704,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,sealOfAlar,PYROMANCER,single,4,807770,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,sealOfAlar,PYROMANCER,single,5,808012,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,sealOfAlar,PYROMANCER,greater,1,808060,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,callOfTheWind,STORMBRINGER,single,1,804018,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,callOfTheWind,STORMBRINGER,single,2,503319,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,callOfTheWind,STORMBRINGER,single,3,503320,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,callOfTheWind,STORMBRINGER,single,4,503321,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,callOfTheWind,STORMBRINGER,single,5,503322,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,callOfTheWind,STORMBRINGER,single,6,503323,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,callOfTheWind,STORMBRINGER,greater,1,680291,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,markOfZeliek,FLESHWARDEN,single,1,803671,Mark of Zeliek,,,,,,,,,,,,5,60,,,,,Resource Cost 5%; Arcane Resist 60,parsed,tooltip_unverified,
mana,markOfZeliek,FLESHWARDEN,greater,1,803731,Greater Mark of Zeliek,,,,,,,,,,,,5,60,,,,,Resource Cost 5%; Arcane Resist 60,parsed,tooltip_unverified,
mana,manaModule,TINKER,single,1,803658,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,manaModule,TINKER,single,2,803659,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,manaModule,TINKER,single,3,803660,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,manaModule,TINKER,single,4,803661,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,manaModule,TINKER,single,5,803662,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,manaModule,TINKER,single,6,803663,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,manaModule,TINKER,single,7,803664,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
mana,manaModule,TINKER,greater,1,803665,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,manariIntuition,DEMONHUNTER,single,1,523478,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,manariIntuition,DEMONHUNTER,single,2,523479,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,manariIntuition,DEMONHUNTER,single,3,523480,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,manariIntuition,DEMONHUNTER,single,4,523481,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,manariIntuition,DEMONHUNTER,single,5,523482,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,manariIntuition,DEMONHUNTER,single,6,523483,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,manariIntuition,DEMONHUNTER,single,7,523484,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,manariIntuition,DEMONHUNTER,greater,1,523495,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,earthenEndurance,WILDWALKER,single,1,570752,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,earthenEndurance,WILDWALKER,single,2,570753,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,earthenEndurance,WILDWALKER,single,3,570754,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,earthenEndurance,WILDWALKER,single,4,570755,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,earthenEndurance,WILDWALKER,greater,1,570756,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,footpadsAdaptation,RANGER,single,1,523489,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,footpadsAdaptation,RANGER,single,2,523490,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,footpadsAdaptation,RANGER,single,3,523491,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,footpadsAdaptation,RANGER,single,4,523492,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,footpadsAdaptation,RANGER,single,5,523493,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,footpadsAdaptation,RANGER,single,6,523494,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,footpadsAdaptation,RANGER,greater,1,523513,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,beetlePheromones,PROPHET,single,1,803651,Beetle Pheromones,,,,,,,,105,4,,,,,,,,,Armor 105; All Stats 4,parsed,tooltip_unverified,
armorStats,beetlePheromones,PROPHET,single,2,803652,Beetle Pheromones,,,,,,,,150,6,,,,,,,,,Armor 150; All Stats 6,parsed,tooltip_unverified,
armorStats,beetlePheromones,PROPHET,single,3,803653,Beetle Pheromones,,,,,,,,195,6,,,,,,,,,Armor 195; All Stats 6,parsed,tooltip_unverified,
armorStats,beetlePheromones,PROPHET,single,4,803654,Beetle Pheromones,,,,,,,,240,12,,,,,,,,,Armor 240; All Stats 12,parsed,tooltip_unverified,
armorStats,beetlePheromones,PROPHET,single,5,803655,Beetle Pheromones,,,,,,,,285,12,,,,,,,,,Armor 285; All Stats 12,parsed,tooltip_unverified,
armorStats,beetlePheromones,PROPHET,single,6,803656,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,beetlePheromones,PROPHET,greater,1,803657,Greater Beetle Pheromones,,,,,,,,285,12,,,,,,,,,Armor 285; All Stats 12,parsed,tooltip_unverified,
armorStats,knightsEdict,WITCHHUNTER,single,1,523485,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,knightsEdict,WITCHHUNTER,single,2,523486,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,knightsEdict,WITCHHUNTER,single,3,523487,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,knightsEdict,WITCHHUNTER,single,4,523488,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
armorStats,knightsEdict,WITCHHUNTER,greater,1,523510,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
